Index,Name,Node Index,Enable,Interval,Multiplier,Bit Mask,Word Swap,Byte Swap,Data Type,Tag Type,FC Read,FC Write,Address,Length,Unit
1,sensor_01,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,0,1,1
2,sensor_02,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,1,1,1
3,sensor_03,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,2,1,1
4,sensor_04,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,3,1,1
5,sensor_05,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,4,1,1
6,sensor_06,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,5,1,1
7,sensor_07,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,6,1,1
8,sensor_08,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,7,1,1
9,sensor_09,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,8,1,1
10,sensor_10,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,9,1,1
11,sensor_11,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,10,1,1
12,sensor_12,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,11,1,1
13,sensor_13,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,12,1,1
14,sensor_14,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,13,1,1
15,sensor_15,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,14,1,1
16,sensor_16,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,15,1,1
17,sensor_17,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,16,1,1
18,sensor_18,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,17,1,1
19,sensor_19,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,18,1,1
20,sensor_20,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,19,1,1
21,sensor_21,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,20,1,1
22,sensor_22,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,21,1,1
23,sensor_23,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,22,1,1
24,sensor_24,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,23,1,1
25,sensor_25,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,24,1,1
26,sensor_26,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,25,1,1
27,sensor_27,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,26,1,1
28,sensor_28,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,27,1,1
29,sensor_29,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,28,1,1
30,sensor_30,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,29,1,1
31,sensor_31,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,30,1,1
32,sensor_32,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,31,1,1
33,sensor_33,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,32,1,1
34,sensor_34,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,33,1,1
35,sensor_35,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,34,1,1
36,sensor_36,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,35,1,1
37,sensor_37,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,36,1,1
38,sensor_38,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,37,1,1
39,sensor_39,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,38,1,1
40,sensor_40,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,39,1,1
41,sensor_41,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,40,1,1
42,sensor_42,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,41,1,1
43,sensor_43,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,42,1,1
44,sensor_44,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,43,1,1
45,sensor_45,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,44,1,1
46,sensor_46,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,45,1,1
47,sensor_47,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,46,1,1
48,sensor_48,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,47,1,1
49,sensor_49,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,48,1,1
50,sensor_50,1,TRUE,T#1s,1.0,0,FALSE,FALSE,1,1,3,16,49,1,1
